Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
4.2,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.21,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.22,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.23,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.24,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.25,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.26,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.27,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.28,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.29,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.3,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.31,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.32,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.33,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.34,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.35,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.36,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.37,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.38,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.39,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.4,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.41,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.42,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.43,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.44,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.45,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.46,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.47,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
4.48,0.00, 2.00, -61.00,0,194.00, 267.00,1,-1,-1,0
