Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
3.88,33.00, 84.00, -45.00,0,0.00, 0.00,1,-1,-1,0
3.89,33.00, 84.00, -45.00,0,0.00, 0.00,1,-1,-1,0
3.9,36.00, 84.00, -43.00,0,0.00, 0.00,1,-1,-1,0
3.91,37.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
3.92,37.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
3.93,37.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
3.94,38.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
3.95,37.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
3.96,37.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
3.97,36.00, 84.00, -42.00,0,0.00, 0.00,1,-1,-1,0
3.98,37.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
3.99,37.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
4,37.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
4.01,37.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
4.02,37.00, 84.00, -41.00,0,0.00, 0.00,1,-1,-1,0
4.03,32.00, 84.00, -46.00,0,0.00, 0.00,1,-1,-1,0
4.04,32.00, 84.00, -46.00,0,0.00, 0.00,1,-1,-1,0
4.05,32.00, 84.00, -46.00,0,0.00, 0.00,1,-1,-1,0
4.06,31.00, 84.00, -47.00,0,0.00, 0.00,1,-1,-1,0
4.07,31.00, 84.00, -47.00,0,0.00, 0.00,1,-1,-1,0
4.08,31.00, 84.00, -47.00,0,0.00, 0.00,1,-1,-1,0
4.09,31.00, 84.00, -48.00,0,0.00, 0.00,1,-1,-1,0
4.1,31.00, 84.00, -48.00,0,0.00, 0.00,1,-1,-1,0
4.11,30.00, 84.00, -48.00,0,0.00, 0.00,1,-1,-1,0
4.12,29.00, 84.00, -49.00,0,0.00, 0.00,1,-1,-1,0
4.13,30.00, 84.00, -48.00,0,0.00, 0.00,1,-1,-1,0
4.14,30.00, 84.00, -48.00,0,0.00, 0.00,1,-1,-1,0
4.15,31.00, 84.00, -47.00,0,0.00, 0.00,1,-1,-1,0
4.16,31.00, 84.00, -47.00,0,0.00, 0.00,1,-1,-1,0
4.17,33.00, 84.00, -46.00,0,0.00, 0.00,1,-1,-1,0
4.18,34.00, 84.00, -44.00,0,0.00, 0.00,1,-1,-1,0
4.19,35.00, 84.00, -43.00,0,0.00, 0.00,1,-1,-1,0
4.2,35.00, 84.00, -43.00,0,0.00, 0.00,1,-1,-1,0
4.21,38.00, 84.00, -40.00,0,0.00, 0.00,1,-1,-1,0
4.22,40.00, 84.00, -39.00,0,0.00, 0.00,1,-1,-1,0
4.23,40.00, 84.00, -39.00,0,0.00, 0.00,1,-1,-1,0
4.24,42.00, 84.00, -37.00,0,0.00, 0.00,1,-1,-1,0
4.25,44.00, 84.00, -34.00,0,0.00, 0.00,1,-1,-1,0
4.26,45.00, 84.00, -33.00,0,0.00, 0.00,1,-1,-1,0
4.27,45.00, 84.00, -33.00,0,0.00, 0.00,1,-1,-1,0
4.28,46.00, 84.00, -32.00,0,0.00, 0.00,1,-1,-1,0
4.29,46.00, 84.00, -32.00,0,0.00, 0.00,1,-1,-1,0
4.3,46.00, 84.00, -32.00,0,0.00, 0.00,1,-1,-1,0
4.31,46.00, 84.00, -32.00,0,0.00, 0.00,1,-1,-1,0
4.32,46.00, 84.00, -33.00,0,0.00, 0.00,1,-1,-1,0
4.33,46.00, 84.00, -33.00,0,0.00, 0.00,1,-1,-1,0
4.34,44.00, 84.00, -35.00,0,0.00, 0.00,1,-1,-1,0
4.35,44.00, 84.00, -35.00,0,0.00, 0.00,1,-1,-1,0
4.36,41.00, 85.00, -39.00,0,0.00, 0.00,1,-1,-1,0
4.37,39.00, 85.00, -40.00,0,0.00, 0.00,1,-1,-1,0
4.38,39.00, 85.00, -40.00,0,0.00, 0.00,1,-1,-1,0
4.39,38.00, 85.00, -41.00,0,0.00, 0.00,1,-1,-1,0
4.4,33.00, 85.00, -46.00,0,0.00, 0.00,1,-1,-1,0
4.41,33.00, 85.00, -46.00,0,0.00, 0.00,1,-1,-1,0
4.42,31.00, 85.00, -49.00,0,0.00, 0.00,1,-1,-1,0
4.43,28.00, 85.00, -51.00,0,0.00, 0.00,1,-1,-1,0
4.44,28.00, 85.00, -51.00,0,0.00, 0.00,1,-1,-1,0
4.45,22.00, 85.00, -57.00,0,0.00, 0.00,1,-1,-1,0
4.46,22.00, 85.00, -57.00,0,0.00, 0.00,1,-1,-1,0
4.47,22.00, 85.00, -57.00,0,0.00, 0.00,1,-1,-1,0
4.48,21.00, 85.00, -58.00,0,0.00, 0.00,1,-1,-1,0
4.49,15.00, 85.00, -65.00,0,0.00, 0.00,1,-1,-1,0
4.5,15.00, 85.00, -65.00,0,0.00, 0.00,1,-1,-1,0
4.51,9.00, 85.00, -71.00,0,0.00, 0.00,1,-1,-1,0
4.52,2.00, 85.00, -78.00,0,0.00, 0.00,1,-1,-1,0
4.53,2.00, 85.00, -78.00,0,0.00, 0.00,1,-1,-1,0
4.54,-12.00, 86.00, -90.00,0,0.00, 0.00,1,-1,-1,0
4.55,-17.00, 86.00, -96.00,0,0.00, 0.00,1,-1,-1,0
4.56,-22.00, 86.00, -101.00,0,0.00, 0.00,1,-1,-1,0
4.57,-22.00, 86.00, -101.00,0,0.00, 0.00,1,-1,-1,0
4.58,-36.00, 86.00, -115.00,0,0.00, 0.00,1,-1,-1,0
4.59,-44.00, 86.00, -122.00,0,0.00, 0.00,1,-1,-1,0
4.6,-44.00, 86.00, -122.00,0,0.00, 0.00,1,-1,-1,0
4.61,-44.00, 86.00, -122.00,0,0.00, 0.00,1,-1,-1,0
4.62,-70.00, 86.00, -147.00,0,0.00, 0.00,1,-1,-1,0
4.63,-70.00, 86.00, -147.00,0,0.00, 0.00,1,-1,-1,0
4.64,-70.00, 86.00, -147.00,0,0.00, 0.00,1,-1,-1,0
4.65,-77.00, 86.00, -155.00,0,0.00, 0.00,1,-1,-1,0
4.66,-84.00, 85.00, -161.00,0,0.00, 0.00,1,-1,-1,0
4.67,-97.00, 84.00, -174.00,0,0.00, 0.00,1,-1,-1,0
4.68,-97.00, 84.00, -174.00,0,0.00, 0.00,1,-1,-1,0
4.69,-102.00, 83.00, -179.00,0,0.00, 0.00,1,-1,-1,0
4.7,-106.00, 83.00, 178.00,0,0.00, 0.00,1,-1,-1,0
4.71,-111.00, 81.00, 173.00,0,0.00, 0.00,1,-1,-1,0
4.72,-111.00, 81.00, 173.00,0,0.00, 0.00,1,-1,-1,0
4.73,-113.00, 80.00, 171.00,0,0.00, 0.00,1,-1,-1,0
4.74,-115.00, 79.00, 170.00,0,0.00, 0.00,1,-1,-1,0
4.75,-115.00, 79.00, 170.00,0,0.00, 0.00,1,-1,-1,0
4.76,-115.00, 79.00, 170.00,0,0.00, 0.00,1,-1,-1,0
4.77,-119.00, 75.00, 166.00,0,0.00, 0.00,1,-1,-1,0
4.78,-119.00, 75.00, 166.00,0,0.00, 0.00,1,-1,-1,0
4.79,-119.00, 75.00, 166.00,0,0.00, 0.00,1,-1,-1,0
4.8,-120.00, 74.00, 166.00,0,0.00, 0.00,1,-1,-1,0
4.81,-121.00, 73.00, 165.00,0,0.00, 0.00,1,-1,-1,0
4.82,-122.00, 71.00, 165.00,0,0.00, 0.00,1,-1,-1,0
4.83,-122.00, 71.00, 165.00,0,0.00, 0.00,1,-1,-1,0
4.84,-123.00, 70.00, 165.00,0,0.00, 0.00,1,-1,-1,0
4.85,-124.00, 69.00, 165.00,0,0.00, 0.00,1,-1,-1,0
4.86,-124.00, 69.00, 165.00,0,0.00, 0.00,1,-1,-1,0
4.87,-126.00, 68.00, 164.00,0,0.00, 0.00,1,-1,-1,0
4.88,-127.00, 67.00, 163.00,0,0.00, 0.00,1,-1,-1,0
4.89,-127.00, 67.00, 163.00,0,0.00, 0.00,1,-1,-1,0
4.9,-130.00, 65.00, 162.00,0,0.00, 0.00,1,-1,-1,0
4.91,-130.00, 65.00, 162.00,0,0.00, 0.00,1,-1,-1,0
4.92,-130.00, 65.00, 162.00,0,0.00, 0.00,1,-1,-1,0
4.93,-131.00, 65.00, 161.00,0,0.00, 0.00,1,-1,-1,0
4.94,-132.00, 64.00, 161.00,0,0.00, 0.00,1,-1,-1,0
4.95,-132.00, 64.00, 161.00,0,0.00, 0.00,1,-1,-1,0
4.96,-134.00, 63.00, 160.00,0,0.00, 0.00,1,-1,-1,0
4.97,-135.00, 62.00, 160.00,0,0.00, 0.00,1,-1,-1,0
4.98,-135.00, 62.00, 160.00,0,0.00, 0.00,1,-1,-1,0
