Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
3.93,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
3.94,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
3.95,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
3.96,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
3.97,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
3.98,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
3.99,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.01,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.02,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.03,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.04,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.05,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.06,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.07,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.08,-20.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.09,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.1,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.11,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.12,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.13,-20.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.14,-20.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.15,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.16,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.17,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.18,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.19,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
4.2,-19.00, 17.00, -140.00,0,0.00, 0.00,1,-1,-1,0
