Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
3.93,8.00, -8.00, 141.00,0,0.00, 0.00,1,0,0,0
3.94,8.00, -8.00, 141.00,0,0.00, 0.00,1,0,0,0
3.95,8.00, -8.00, 141.00,0,0.00, 0.00,1,0,0,0
3.96,8.00, -8.00, 141.00,0,0.00, 0.00,1,0,0,0
3.97,7.00, -7.00, 141.00,0,0.00, 0.00,1,0,0,0
3.98,7.00, -7.00, 141.00,0,0.00, 0.00,1,0,0,0
3.99,7.00, -7.00, 141.00,0,0.00, 0.00,1,0,0,0
4,7.00, -7.00, 141.00,0,0.00, 0.00,1,0,0,0
4.01,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.02,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.03,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.04,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.05,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.06,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.07,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.08,7.00, -7.00, 141.00,0,0.00, 0.00,1,0,0,0
4.09,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.1,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.11,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.12,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.13,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.14,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.15,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.16,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.17,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.18,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.19,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.2,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.21,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.22,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.23,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.24,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.25,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.26,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.27,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.28,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.29,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.3,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.31,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.32,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.33,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.34,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.35,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.36,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.37,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.38,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.39,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.4,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.41,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.42,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.43,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.44,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.45,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.46,8.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.47,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
4.48,7.00, -6.00, 141.00,0,0.00, 0.00,1,0,0,0
