Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
4.23,-139.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.24,-139.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.25,-139.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.26,-138.00, 10.00, 97.00,0,0.00, 0.00,1,-1,-1,0
4.27,-138.00, 10.00, 97.00,0,0.00, 0.00,1,-1,-1,0
4.28,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.29,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.3,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.31,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.32,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.33,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.34,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.35,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.36,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.37,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.38,-138.00, 10.00, 96.00,0,0.00, 0.00,1,-1,-1,0
4.39,-138.00, 10.00, 97.00,0,0.00, 0.00,1,-1,-1,0
4.4,-138.00, 10.00, 97.00,0,0.00, 0.00,1,-1,-1,0
4.41,-138.00, 10.00, 97.00,0,0.00, 0.00,1,-1,-1,0
4.42,-137.00, 10.00, 98.00,0,0.00, 0.00,1,-1,-1,0
4.43,-137.00, 10.00, 98.00,0,0.00, 0.00,1,-1,-1,0
4.44,-137.00, 9.00, 98.00,0,0.00, 0.00,1,-1,-1,0
4.45,-137.00, 9.00, 98.00,0,0.00, 0.00,1,-1,-1,0
4.46,-137.00, 9.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.47,-137.00, 9.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.48,-136.00, 9.00, 100.00,0,0.00, 0.00,1,-1,-1,0
4.49,-136.00, 8.00, 100.00,0,0.00, 0.00,1,-1,-1,0
4.5,-136.00, 8.00, 100.00,0,0.00, 0.00,1,-1,-1,0
4.51,-136.00, 8.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.52,-136.00, 8.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.53,-136.00, 8.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.54,-136.00, 8.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.55,-136.00, 8.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.56,-136.00, 8.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.57,-137.00, 8.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.58,-137.00, 8.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.59,-137.00, 8.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.6,-137.00, 8.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.61,-137.00, 7.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.62,-137.00, 7.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.63,-137.00, 7.00, 101.00,0,0.00, 0.00,1,-1,-1,0
4.64,-137.00, 7.00, 100.00,0,0.00, 0.00,1,-1,-1,0
4.65,-137.00, 7.00, 100.00,0,0.00, 0.00,1,-1,-1,0
4.66,-138.00, 7.00, 100.00,0,0.00, 0.00,1,-1,-1,0
4.67,-138.00, 7.00, 100.00,0,0.00, 0.00,1,-1,-1,0
4.68,-138.00, 6.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.69,-139.00, 5.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.7,-139.00, 5.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.71,-139.00, 5.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.72,-139.00, 5.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.73,-140.00, 4.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.74,-140.00, 2.00, 98.00,0,0.00, 0.00,1,-1,-1,0
4.75,-140.00, 2.00, 98.00,0,0.00, 0.00,1,-1,-1,0
4.76,-140.00, 2.00, 98.00,0,0.00, 0.00,1,-1,-1,0
4.77,-140.00, 2.00, 98.00,0,0.00, 0.00,1,-1,-1,0
4.78,-139.00, 2.00, 98.00,0,0.00, 0.00,1,-1,-1,0
4.79,-137.00, 0.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.8,-137.00, 0.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.81,-136.00, -5.00, 99.00,0,0.00, 0.00,1,-1,-1,0
4.82,-136.00, -5.00, 99.00,0,0.00, 0.00,1,-1,-1,0
