Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
4.05,86.00, 41.00, -7.00,0,0.00, 0.00,1,-1,-1,0
4.06,86.00, 41.00, -7.00,0,0.00, 0.00,1,-1,-1,0
4.07,86.00, 41.00, -7.00,0,0.00, 0.00,1,-1,-1,0
4.08,86.00, 42.00, -8.00,0,0.00, 0.00,1,-1,-1,0
4.09,86.00, 42.00, -8.00,0,0.00, 0.00,1,-1,-1,0
4.1,87.00, 42.00, -8.00,0,0.00, 0.00,1,-1,-1,0
4.11,87.00, 42.00, -8.00,0,0.00, 0.00,1,-1,-1,0
4.12,89.00, 43.00, -8.00,0,0.00, 0.00,1,-1,-1,0
4.13,89.00, 43.00, -8.00,0,0.00, 0.00,1,-1,-1,0
4.14,89.00, 43.00, -8.00,0,0.00, 0.00,1,-1,-1,0
4.15,91.00, 44.00, -9.00,0,0.00, 0.00,1,-1,-1,0
4.16,92.00, 45.00, -9.00,0,0.00, 0.00,1,-1,-1,0
4.17,91.00, 45.00, -11.00,0,0.00, 0.00,1,-1,-1,0
4.18,91.00, 45.00, -11.00,0,0.00, 0.00,1,-1,-1,0
4.19,88.00, 45.00, -15.00,0,0.00, 0.00,1,-1,-1,0
4.2,79.00, 41.00, -28.00,0,0.00, 0.00,1,-1,-1,0
4.21,79.00, 41.00, -28.00,0,0.00, 0.00,1,-1,-1,0
4.22,74.00, 38.00, -33.00,0,0.00, 0.00,1,-1,-1,0
4.23,71.00, 35.00, -36.00,0,0.00, 0.00,1,-1,-1,0
4.24,71.00, 35.00, -36.00,0,0.00, 0.00,1,-1,-1,0
4.25,69.00, 32.00, -33.00,0,0.00, 0.00,1,-1,-1,0
4.26,69.00, 32.00, -33.00,0,0.00, 0.00,1,-1,-1,0
4.27,70.00, 32.00, -32.00,0,0.00, 0.00,1,-1,-1,0
4.28,70.00, 32.00, -32.00,0,0.00, 0.00,1,-1,-1,0
4.29,71.00, 33.00, -31.00,0,0.00, 0.00,1,-1,-1,0
4.3,72.00, 34.00, -30.00,0,0.00, 0.00,1,-1,-1,0
4.31,72.00, 34.00, -30.00,0,0.00, 0.00,1,-1,-1,0
4.32,73.00, 35.00, -30.00,0,0.00, 0.00,1,-1,-1,0
4.33,72.00, 36.00, -30.00,0,0.00, 0.00,1,-1,-1,0
4.34,72.00, 36.00, -30.00,0,0.00, 0.00,1,-1,-1,0
4.35,72.00, 37.00, -31.00,0,0.00, 0.00,1,-1,-1,0
4.36,72.00, 37.00, -31.00,0,0.00, 0.00,1,-1,-1,0
4.37,70.00, 38.00, -32.00,0,0.00, 0.00,1,-1,-1,0
4.38,70.00, 38.00, -32.00,0,0.00, 0.00,1,-1,-1,0
4.39,69.00, 39.00, -34.00,0,0.00, 0.00,1,-1,-1,0
4.4,70.00, 37.00, -32.00,0,0.00, 0.00,1,-1,-1,0
4.41,70.00, 37.00, -32.00,0,0.00, 0.00,1,-1,-1,0
4.42,71.00, 37.00, -31.00,0,0.00, 0.00,1,-1,-1,0
4.43,71.00, 37.00, -31.00,0,0.00, 0.00,1,-1,-1,0
4.44,72.00, 36.00, -31.00,0,0.00, 0.00,1,-1,-1,0
4.45,72.00, 36.00, -31.00,0,0.00, 0.00,1,-1,-1,0
4.46,72.00, 36.00, -31.00,0,0.00, 0.00,1,-1,-1,0
4.47,72.00, 36.00, -32.00,0,0.00, 0.00,1,-1,-1,0
