Time,Euler0,Euler1,Euler2,ShakeLevel
3.7688,84.00, -41.00, 32.00,0
3.905242,80.00, -39.00, 34.00,0
3.99402,78.00, -40.00, 37.00,0
4.118315,78.00, -41.00, 38.00,0
4.22354,77.00, -44.00, 39.00,0
4.33908,79.00, -47.00, 40.00,0
4.441947,77.00, -59.00, 43.00,0
4.570169,69.00, -72.00, 49.00,0
4.669633,40.00, -83.00, 74.00,0
4.795375,-57.00, -83.00, 168.00,0
4.892304,-90.00, -76.00, -162.00,0
5.02037,-96.00, -80.00, -158.00,0
5.145242,-90.00, -88.00, -160.00,0
5.245466,132.00, -78.00, -12.00,0
5.344446,137.00, -58.00, -5.00,0
5.466929,136.00, -52.00, 2.00,0
5.571051,131.00, -47.00, 9.00,0
5.693853,128.00, -40.00, 18.00,0
5.791111,146.00, -37.00, 27.00,0
5.952117,148.00, -42.00, 25.00,0
6.027959,155.00, -50.00, 18.00,0
6.13478,172.00, -58.00, 0.00,0
6.246145,170.00, -70.00, -7.00,0
6.368324,177.00, -77.00, -21.00,0
6.464933,-152.00, -84.00, -57.00,0
6.585254,-78.00, -83.00, -136.00,0
6.697856,-53.00, -80.00, -164.00,0
6.821593,-44.00, -81.00, -173.00,0
6.953653,-41.00, -85.00, -172.00,0
