Time,Euler0,Euler1,Euler2,ShakeLevel
3.659669,96.00, -7.00, 53.00,0
3.759714,97.00, -15.00, 95.00,0
3.873118,94.00, -17.00, 100.00,0
3.967686,72.00, -28.00, 124.00,0
4.084748,50.00, -29.00, 135.00,0
4.12228,50.00, -29.00, 135.00,1
4.198164,37.00, -29.00, 125.00,1
4.21216,37.00, -29.00, 125.00,0
4.313179,28.00, -35.00, 125.00,0
4.425457,-12.00, -41.00, 144.00,0
4.546709,-9.00, -35.00, 145.00,0
4.640554,-7.00, -35.00, 145.00,0
4.769772,-9.00, -42.00, 165.00,0
4.865963,-23.00, -45.00, -154.00,0
4.995815,-42.00, -44.00, -112.00,0
5.101829,-56.00, -36.00, -73.00,0
5.21047,-61.00, -44.00, -52.00,1
5.227186,-61.00, -44.00, -52.00,0
5.313631,-68.00, -47.00, -40.00,0
5.438758,-75.00, -46.00, -32.00,0
5.560704,-53.00, -48.00, -28.00,0
5.66434,-44.00, -41.00, -8.00,0
5.770896,-46.00, -37.00, 3.00,0
5.898441,-47.00, -39.00, 0.00,0
5.999519,-49.00, -49.00, 6.00,0
6.11667,-50.00, -57.00, 6.00,0
6.220722,-75.00, -66.00, 27.00,0
6.349477,-101.00, -71.00, 58.00,0
6.448062,-175.00, -66.00, 167.00,0
6.581604,150.00, -55.00, -157.00,0
6.669389,136.00, -43.00, -136.00,0
6.795198,137.00, -33.00, -122.00,0
6.892687,137.00, -32.00, -119.00,0
7.02324,138.00, -29.00, -106.00,0
7.120379,141.00, -32.00, -103.00,0
7.24953,140.00, -35.00, -104.00,0
7.359786,141.00, -36.00, -105.00,0
