Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
3.92,-62.00, 14.00, 171.00,0,0.00, 0.00,1,-1,-1,0
3.93,-62.00, 14.00, 171.00,0,0.00, 0.00,1,-1,-1,0
3.94,-62.00, 14.00, 171.00,0,0.00, 0.00,1,-1,-1,0
3.95,-60.00, 15.00, 172.00,0,0.00, 0.00,1,-1,-1,0
3.96,-60.00, 15.00, 172.00,0,0.00, 0.00,1,-1,-1,0
3.97,-59.00, 14.00, 173.00,0,0.00, 0.00,1,-1,-1,0
3.98,-59.00, 14.00, 173.00,0,0.00, 0.00,1,-1,-1,0
3.99,-59.00, 14.00, 174.00,0,0.00, 0.00,1,-1,-1,0
4,-58.00, 14.00, 174.00,0,0.00, 0.00,1,-1,-1,0
4.01,-58.00, 14.00, 175.00,0,0.00, 0.00,1,-1,-1,0
4.02,-58.00, 14.00, 175.00,0,0.00, 0.00,1,-1,-1,0
4.03,-58.00, 14.00, 175.00,0,0.00, 0.00,1,-1,-1,0
4.04,-58.00, 14.00, 175.00,0,0.00, 0.00,1,-1,-1,0
4.05,-58.00, 14.00, 175.00,0,0.00, 0.00,1,-1,-1,0
4.06,-59.00, 15.00, 174.00,0,0.00, 0.00,1,-1,-1,0
4.07,-59.00, 15.00, 174.00,0,0.00, 0.00,1,-1,-1,0
4.08,-59.00, 15.00, 174.00,0,0.00, 0.00,1,-1,-1,0
4.09,-59.00, 15.00, 174.00,0,0.00, 0.00,1,-1,-1,0
4.1,-59.00, 15.00, 174.00,0,0.00, 0.00,1,-1,-1,0
4.11,-59.00, 15.00, 175.00,0,0.00, 0.00,1,-1,-1,0
4.12,-59.00, 15.00, 175.00,0,0.00, 0.00,1,-1,-1,0
4.13,-57.00, 15.00, 176.00,0,0.00, 0.00,1,-1,-1,0
4.14,-57.00, 15.00, 176.00,0,0.00, 0.00,1,-1,-1,0
4.15,-56.00, 15.00, 178.00,0,0.00, 0.00,1,-1,-1,0
4.16,-56.00, 15.00, 178.00,0,0.00, 0.00,1,-1,-1,0
4.17,-55.00, 15.00, 179.00,0,0.00, 0.00,1,-1,-1,0
4.18,-55.00, 15.00, 179.00,0,0.00, 0.00,1,-1,-1,0
4.19,-52.00, 15.00, -179.00,0,0.00, 0.00,1,-1,-1,0
4.2,-52.00, 15.00, -179.00,0,0.00, 0.00,1,-1,-1,0
4.21,-52.00, 15.00, -179.00,0,0.00, 0.00,1,-1,-1,0
4.22,-51.00, 15.00, -178.00,0,0.00, 0.00,1,-1,-1,0
4.23,-50.00, 16.00, -178.00,0,0.00, 0.00,1,-1,-1,0
4.24,-50.00, 16.00, -178.00,0,0.00, 0.00,1,-1,-1,0
4.25,-49.00, 15.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.26,-49.00, 15.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.27,-49.00, 15.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.28,-49.00, 15.00, -176.00,0,0.00, 0.00,1,-1,-1,0
4.29,-49.00, 15.00, -176.00,0,0.00, 0.00,1,-1,-1,0
4.3,-49.00, 15.00, -176.00,0,0.00, 0.00,1,-1,-1,0
4.31,-49.00, 15.00, -176.00,0,0.00, 0.00,1,-1,-1,0
4.32,-49.00, 15.00, -176.00,0,0.00, 0.00,1,-1,-1,0
4.33,-49.00, 15.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.34,-49.00, 15.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.35,-49.00, 15.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.36,-49.00, 16.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.37,-49.00, 17.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.38,-49.00, 17.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.39,-49.00, 17.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.4,-49.00, 17.00, -177.00,0,0.00, 0.00,1,-1,-1,0
