Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
4.3,3.00, 24.00, 123.00,1,0.00, 0.00,1,-1,-1,0
4.31,3.00, 24.00, 123.00,1,0.00, 0.00,1,-1,-1,0
4.32,-13.00, 36.00, 104.00,1,0.00, 0.00,1,-1,-1,0
4.33,-13.00, 36.00, 104.00,1,0.00, 0.00,1,-1,-1,0
4.34,-17.00, 39.00, 98.00,1,0.00, 0.00,1,-1,-1,0
4.35,-17.00, 39.00, 98.00,1,0.00, 0.00,1,-1,-1,0
4.36,-19.00, 38.00, 93.00,1,0.00, 0.00,1,-1,-1,0
4.37,-16.00, 36.00, 97.00,2,0.00, 0.00,1,-1,-1,0
4.38,-16.00, 36.00, 97.00,2,0.00, 0.00,1,-1,-1,0
4.39,-12.00, 34.00, 102.00,2,0.00, 0.00,1,-1,-1,0
4.4,-12.00, 34.00, 102.00,2,0.00, 0.00,1,-1,-1,0
4.41,-1.00, 24.00, 118.00,3,0.00, 0.00,1,-1,-1,0
4.42,-1.00, 24.00, 118.00,3,0.00, 0.00,1,-1,-1,0
4.43,2.00, 19.00, 123.00,3,0.00, 0.00,1,-1,-1,0
4.44,2.00, 19.00, 123.00,3,0.00, 0.00,1,-1,-1,0
4.45,5.00, 11.00, 130.00,2,0.00, 0.00,1,-1,-1,0
4.46,5.00, 11.00, 130.00,2,0.00, 0.00,1,-1,-1,0
4.47,6.00, 10.00, 132.00,2,0.00, 0.00,1,-1,-1,0
4.48,6.00, 10.00, 132.00,2,0.00, 0.00,1,-1,-1,0
4.49,9.00, 16.00, 130.00,1,0.00, 0.00,1,-1,-1,0
4.5,9.00, 16.00, 130.00,1,0.00, 0.00,1,-1,-1,0
4.51,9.00, 16.00, 130.00,1,0.00, 0.00,1,-1,-1,0
4.52,9.00, 16.00, 130.00,1,0.00, 0.00,1,-1,-1,0
4.53,8.00, 20.00, 128.00,1,0.00, 0.00,1,-1,-1,0
4.54,8.00, 20.00, 128.00,1,0.00, 0.00,1,-1,-1,0
4.55,1.00, 30.00, 119.00,1,0.00, 0.00,1,-1,-1,0
4.56,-4.00, 35.00, 113.00,1,0.00, 0.00,1,-1,-1,0
4.57,-4.00, 35.00, 113.00,1,0.00, 0.00,1,-1,-1,0
4.58,-18.00, 45.00, 92.00,1,0.00, 0.00,1,-1,-1,0
4.59,-18.00, 45.00, 92.00,1,0.00, 0.00,1,-1,-1,0
4.6,-18.00, 45.00, 92.00,1,0.00, 0.00,1,-1,-1,0
4.61,-15.00, 45.00, 94.00,2,0.00, 0.00,1,-1,-1,0
4.62,-15.00, 45.00, 94.00,2,0.00, 0.00,1,-1,-1,0
4.63,-11.00, 44.00, 104.00,2,0.00, 0.00,1,-1,-1,0
4.64,-9.00, 41.00, 109.00,3,0.00, 0.00,1,-1,-1,0
4.65,-9.00, 41.00, 109.00,3,0.00, 0.00,1,-1,-1,0
4.66,-7.00, 37.00, 114.00,3,0.00, 0.00,1,-1,-1,0
4.67,-7.00, 37.00, 114.00,3,0.00, 0.00,1,-1,-1,0
