Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
4.07,-156.00, -71.00, -138.00,0,0.00, 0.00,1,-1,-1,0
4.08,-156.00, -71.00, -138.00,0,0.00, 0.00,1,-1,-1,0
4.09,-156.00, -71.00, -138.00,0,0.00, 0.00,1,-1,-1,0
4.1,-157.00, -69.00, -139.00,0,0.00, 0.00,1,-1,-1,0
4.11,-157.00, -69.00, -139.00,0,0.00, 0.00,1,-1,-1,0
4.12,-158.00, -66.00, -141.00,0,0.00, 0.00,1,-1,-1,0
4.13,-160.00, -62.00, -145.00,0,0.00, 0.00,1,-1,-1,0
4.14,-160.00, -62.00, -145.00,0,0.00, 0.00,1,-1,-1,0
4.15,-161.00, -59.00, -147.00,0,0.00, 0.00,1,-1,-1,0
4.16,-162.00, -52.00, -154.00,0,0.00, 0.00,1,-1,-1,0
4.17,-162.00, -52.00, -154.00,0,0.00, 0.00,1,-1,-1,0
4.18,-162.00, -52.00, -154.00,0,0.00, 0.00,1,-1,-1,0
4.19,-162.00, -52.00, -154.00,0,0.00, 0.00,1,-1,-1,0
4.2,-162.00, -49.00, -156.00,0,0.00, 0.00,1,-1,-1,0
4.21,-162.00, -46.00, -158.00,0,0.00, 0.00,1,-1,-1,0
4.22,-162.00, -46.00, -158.00,0,0.00, 0.00,1,-1,-1,0
4.23,-161.00, -40.00, -163.00,0,0.00, 0.00,1,-1,-1,0
4.24,-161.00, -37.00, -164.00,0,0.00, 0.00,1,-1,-1,0
4.25,-161.00, -37.00, -164.00,0,0.00, 0.00,1,-1,-1,0
4.26,-160.00, -34.00, -166.00,0,0.00, 0.00,1,-1,-1,0
4.27,-159.00, -27.00, -168.00,0,0.00, 0.00,1,-1,-1,0
4.28,-159.00, -27.00, -168.00,0,0.00, 0.00,1,-1,-1,0
4.29,-158.00, -24.00, -169.00,0,0.00, 0.00,1,-1,-1,0
4.3,-157.00, -20.00, -171.00,0,0.00, 0.00,1,-1,-1,0
4.31,-157.00, -20.00, -171.00,0,0.00, 0.00,1,-1,-1,0
4.32,-153.00, -10.00, -175.00,0,0.00, 0.00,1,-1,-1,0
4.33,-153.00, -10.00, -175.00,0,0.00, 0.00,1,-1,-1,0
4.34,-153.00, -10.00, -175.00,0,0.00, 0.00,1,-1,-1,0
4.35,-152.00, -6.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.36,-152.00, -6.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.37,-147.00, 7.00, 177.00,0,0.00, 0.00,1,-1,-1,0
4.38,-147.00, 7.00, 177.00,0,0.00, 0.00,1,-1,-1,0
4.39,-144.00, 12.00, 176.00,0,0.00, 0.00,1,-1,-1,0
4.4,-139.00, 23.00, 173.00,0,0.00, 0.00,1,-1,-1,0
4.41,-135.00, 27.00, 173.00,0,0.00, 0.00,1,-1,-1,0
4.42,-135.00, 27.00, 173.00,0,0.00, 0.00,1,-1,-1,0
4.43,-135.00, 27.00, 173.00,0,0.00, 0.00,1,-1,-1,0
4.44,-130.00, 32.00, 172.00,0,0.00, 0.00,1,-1,-1,0
4.45,-130.00, 32.00, 172.00,0,0.00, 0.00,1,-1,-1,0
4.46,-109.00, 45.00, 179.00,0,0.00, 0.00,1,-1,-1,0
4.47,-109.00, 45.00, 179.00,0,0.00, 0.00,1,-1,-1,0
4.48,-109.00, 45.00, 179.00,0,0.00, 0.00,1,-1,-1,0
4.49,-99.00, 49.00, -177.00,0,0.00, 0.00,1,-1,-1,0
4.5,-89.00, 51.00, -172.00,0,0.00, 0.00,1,-1,-1,0
4.51,-67.00, 53.00, -160.00,0,0.00, 0.00,1,-1,-1,0
4.52,-67.00, 53.00, -160.00,0,0.00, 0.00,1,-1,-1,0
4.53,-57.00, 52.00, -155.00,0,0.00, 0.00,1,-1,-1,0
4.54,-48.00, 51.00, -151.00,0,0.00, 0.00,1,-1,-1,0
4.55,-48.00, 51.00, -151.00,0,0.00, 0.00,1,-1,-1,0
4.56,-48.00, 51.00, -151.00,0,0.00, 0.00,1,-1,-1,0
4.57,-29.00, 43.00, -147.00,0,0.00, 0.00,1,-1,-1,0
