Time,Euler0,Euler1,Euler2,ShakeLevel
3.451135,-23.00, 3.00, -170.00,0
3.468653,-50.00, 1.00, 180.00,0
3.559127,-82.00, 1.00, 175.00,0
3.681972,-113.00, 7.00, 169.00,0
3.787089,-142.00, 16.00, 161.00,0
3.905914,-166.00, 33.00, 151.00,0
4.009151,-166.00, 33.00, 151.00,1
4.025324,144.00, 64.00, 94.00,1
4.046333,144.00, 64.00, 94.00,0
4.127818,34.00, 33.00, -38.00,0
4.172634,34.00, 33.00, -38.00,1
4.222633,34.00, 33.00, -38.00,0
4.239487,23.00, 10.00, -75.00,0
4.350768,19.00, -4.00, -104.00,0
4.465742,11.00, -3.00, -113.00,0
4.581689,4.00, 2.00, -110.00,0
4.703723,1.00, 13.00, -107.00,0
4.804662,1.00, 20.00, -105.00,0
4.943976,2.00, 22.00, -104.00,0
