Time,Euler0,Euler1,Euler2,ShakeLevel
3.425204,55.00, 13.00, 21.00,0
3.516573,85.00, 11.00, 15.00,0
3.626415,107.00, -2.00, -2.00,0
3.742395,129.00, -17.00, -11.00,0
3.838779,151.00, -38.00, -26.00,0
3.959733,-161.00, -62.00, -78.00,0
4.067195,-53.00, -48.00, 161.00,0
4.188622,-29.00, -8.00, 115.00,0
4.297216,-24.00, 0.00, 94.00,0
4.411275,-11.00, 4.00, 89.00,0
4.517653,-5.00, -4.00, 91.00,0
4.66008,-3.00, -8.00, 93.00,0
4.744698,-4.00, -9.00, 93.00,0
4.859669,-5.00, -8.00, 94.00,0
4.96524,-5.00, -11.00, 95.00,0
